gene	nlp	trait	rsid	explanation	explanation_source	gwas_source	annotation_source
TH	48.90413354652146	dopamine 3-O-sulfate	rs200180914	TH encodes tyrosine hydroxylase which converts tyrosine to L-DOPA which can then be converted to the metabolite observed here, dopamine 3-o-sulfate.	14216443	35347128	35347128
THEM4	37.398	Blood metabolite ratios (linoleate (18:2n6)/X-12442--5,8-tetradecadienoate)	rs6693388	THEM4 is a broad range acyl-CoA thioesterase with a preference for medium and long chain acyl-CoAs. [19453107].  X-12442 has been identified as 5,8-tetradecadienoate.	19453107	24816252	30239796
THEM4|THEM5	165.59533729912627	cis-4-decenoate (10:1n6)	rs6675930	THEM4 and THEM5 encode medium-chain length acyl-CoA thioesterases which release free fatty acids from acyl-CoAs.  The observed metabolite is a possible product.	19453107|22586271	35347128	35347128
TKT	37.123608938180816	erythronate	rs4687718	TKT encodes transkelolase, an enzyme with a prefererence for D-erythrose 4-phosphate as a substrate.	9924800	35347128	35347128
TM6SF2	19.16915480769139	oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]	rs187429064	TM6SF2 encodes a transmembrane 6 superfamily member involved in regulation of hepatic triglyceride synthesis and export.	24927523	35347128	35347128
TMEM86B	33.99	1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*/1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	rs4606850	TMEM86B encodes a lysoplasmalogenase which hydrolyzes lysoplasmalogens which are derived from plasmalogens such as the metabolite observed here.	21515882	36357675	36357675
TMLHE	93.41094446894766	N6,N6,N6-trimethyllysine	rs547447	TMLHE encodes an epsilon trimethyllysine hydroxylase which adds a hydroxyl group to epsilon-n-trimethyl-lysine in the first step of carnitine biosynthesis.	6772170	35347128	35347128
TMPRSS6	139	Iron status biomarkers (iron levels)	rs855791	TMPRSS6 encodes a protease which regulates levels of hepcidin which regulates iron levels	25588876	25352340	30239796
TREH	29.523	Serum metabolite levels (Trehalose)	rs507080	TREH encodes trehalase which hydrolyses the disaccharide trehalose.	9427547	24625756	30239796
TRIB1	112.652	Triglycerides	rs2954022	TRIB1 regulates hepatic lipogenesis.	26517927	GLGC	30239796
TRPM6	14.097	Magnesium levels	rs11144134	TRPM6 encodes a cation transporter with demonstrated activity toward magnesium.	14576148	20700443	30239796
TRPM8	10.097	Calcium levels	rs1550532	TRPM8 encodes a calcium-permeable channel activated by menthol and cold.	11882888	24068962	30239796
TSPYL5	7.523	Estradiol plasma levels (breast cancer)	rs1864729	TSPYL5 induces CYP19A1 expression, which in turn encodes a key enzyme involved in the biosynthesis of estradiol.	23518928	23518928	30239796
TTPA	16.02	gamma-tocopherol/beta-tocopherol	rs62508088	TTPA encodes alpha tocopherol transfer protein which specifically binds the alpha-tocopherol form of vitamin E.  The metabolite observed at this locus is the closely related gamma- or beta-tocopherol.	7887897	36357675	36357675
TTR	13.65	retinol (Vitamin A)	rs1667237	TTR encodes a thyroid hormone-binding protein which transports thryroxine and retinol.	4607556	36357675	36357675
TYMP	249.56	5-methyluridine (ribothymidine)	rs131805	TYMP encodes thymidine phosphorylase, which catalyzes the phosphorolysis of thymidine and deoxyuridine.   These pyrimidines are metabolically linked to uridine.	7284378	36357675	36357675
UGT1A1|UGT1A10|UGT1A3|UGT1A4|UGT1A5|UGT1A6|UGT1A7|UGT1A8|UGT1A9	923.35	dimethylarginine (SDMA + ADMA)/bilirubin (Z,Z)	rs1976391	the UGT genes have UDP-glucuronosyltransferase activity, glucoronidating a variety of substrates.  There are 10 paralogs at this locus which likely have different preferences for the different metabolites associated here.	25760529	36357675	36357675
UGT2B10	154.699	Cotinine glucuronidation	rs34100980	UGT2B10 encodes a UDP glucuronosyltransferase which glucuronidates cotinine to produce cotinine glucuronide	17576790	25293881	30239796
UGT2B15|UGT2B17	665.0798766737092	deoxycholic acid glucuronide	rs13121671	UGT2B15|UGT2B17 encode a pair of diphosphoglucuronosyltransferase that can act on steroids	8399210|8798464	35347128	35347128
UGT3A1	115.3579313726585	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	rs6873506	UGT3A1 encodes a UDP glycosyltransferase.  This enzyme has demonstrated activity against the bile acid ursodeoxycholic acid.  The metabolite detected here is structurally related to the bile acids.	18981171	35347128	35347128
UMPS	220.06	orotate	rs2242247	UMPS encodes uridine monophosphate synthetase, the enzyme which converts orotic acid to uridine.  Enzyme deficiency results in accumulation of orotic acid.	6893554	36357675	36357675
UPB1	44.33	3-ureidopropionate	rs143493067	UPB1 encodes a beta-ureidopropionase which takes the observed metabolite, 3-ureidopropanoate, and produces  beta-alanine in the last step of pyrimidine degradation.	13538975	36357675	36357675
UPP1	33.16	5-methyluridine (ribothymidine)	rs7794100	UPP1 encodes uridine phosphorylase which catalyzes the interconversion of uridine and uracil.	7488099	36357675	36357675
VLDLR	9.176	Total Cholesterol	rs3780181	VLDLR encodes the very low density lipoprotein receptor 	8294473	GLGC	30239796
XPNPEP2	77.76853040956932	prolylproline	rs4830164	XPNPEP2 encodes a protease which specifically cleaves at a proline residue. Prolylproline is a plausable substrate or product	15361070	35347128	35347128
XYLB	13.53	glycolate|urine	rs3132440	XYLB encodes a xylulokinase homolog which phosphorylates D-xylulose, a precursor of glycolate	9783918	26352407	30239796
